,Company name,"Total assets
m USD
2014","Total assets
m USD
2013","Total assets
m USD
2012","Total assets
m USD
2011","Operating
revenue
(Turnover)
m USD
2014","Operating
revenue
(Turnover)
m USD
2013","Operating
revenue
(Turnover)
m USD
2012","Operating
revenue
(Turnover)
m USD
2011","Number of employees
Last avail. yr","Number of employees
2014","Number of employees
2013","Number of employees
2012","Number of employees
2011"
67.,DELANY CAPITAL MANAGEMENT CORP,-1,-1,-1,-1,-1,-1,-1,-1,750,-1,-1,-1,-1
68.,INTERFINANCIAL INC,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1
69.,SHERMAN FINANCIAL GROUP LLC,-1,-1,-1,-1,-1,-1,-1,-1,1500,-1,-1,-1,-1
70.,HYPERION PARTNERS LP,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1
71.,STERLING BANCORP,-1,-1,-1,-1,-1,-1,-1,-1,1500,-1,-1,-1,-1
72.,ESL FEDERAL CREDIT UNION,-1,-1,-1,-1,-1,-1,-1,-1,375,-1,-1,-1,-1
73.,REV HOLDINGS INC,-1,-1,-1,-1,350,-1,-1,-1,7500,7500,-1,-1,-1
74.,COMMUNITY BANK SYSTEM INC,-1,-1,-1,-1,-1,-1,-1,-1,3500,-1,-1,-1,-1
75.,ASTORIA FINANCIAL CORP,-1,-1,-1,-1,-1,-1,-1,-1,1500,-1,-1,-1,-1
76.,PERSEUS BOOKS GROUP,-1,-1,-1,-1,-1,-1,-1,-1,1500,-1,-1,-1,-1
77.,AMERICAN HOME MORTGAGE INVESTMENT CORP,-1,-1,-1,-1,-1,-1,-1,-1,750,-1,-1,-1,-1
78.,SMARTSOURCE RENTALS,-1,-1,-1,-1,-1,-1,-1,-1,750,-1,-1,-1,-1
79.,CML HOLDINGS INTERNATIONAL LLC,-1,-1,-1,-1,-1,-1,-1,-1,750,-1,-1,-1,-1
80.,FALCONHEAD CAPITAL LLC,-1,-1,-1,-1,-1,-1,-1,-1,3500,-1,-1,-1,-1
81.,W DIAMOND GROUP CORP,-1,-1,-1,-1,-1,-1,-1,-1,175,-1,-1,-1,-1
82.,WOODLANDS COMMERCIAL BANK,-1,-1,-1,-1,350,-1,-1,-1,7,7,-1,-1,-1
83.,ON DECK CAPITAL INC,-1,-1,-1,-1,-1,-1,-1,-1,750,-1,-1,-1,-1
84.,MF GLOBAL HOLDINGS USA INC,-1,-1,-1,-1,-1,-1,-1,-1,15,-1,-1,-1,-1
85.,NEW YORK PRIVATE BANK & TRUST CORP,-1,-1,-1,-1,-1,-1,-1,-1,750,-1,-1,-1,-1
86.,CENTRE LANE PARTNERS LLC,-1,-1,-1,-1,-1,-1,-1,-1,750,-1,-1,-1,-1
87.,DAKOTA HOLDING CORP,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
88.,NATIONAL AMERICAS HOLDINGS LLC,9601.093,9200.924,9016.148,8404.362,342.745,355.79,358.339,349.58,1451,1451,1466,1553,1494
89.,"NBT BANK, NATIONAL ASSOCIATION",7726.299,7581.736,5986.046,5558.535,350.661,313.519,266.39,258.114,1131,1159,1175,1068,1061
90.,"EMIGRANT BANCORP, INC",-1,-1,-1,-1,-1,-1,-1,-1,1300,-1,-1,-1,-1
91.,COMMUNITY BANK NA,7461.279,7068.834,7470.683,6460.589,323.516,391.34,296.446,272.826,1917,1714,1765,1770,1600
92.,PROGRESSIVE CREDIT UNION,7011.10151,6833.33653,5474.72722,5780.67815,290.18693,285.24979,275.89557,282.80487,30,30,31,31,26
93.,BANK LEUMI LE-ISRAEL CORPORATION,5203.08,5186.822,5362.308,5677.616,185.858,179.008,184.07,176.64,478,453,443,433,483
94.,BANK LEUMI USA,5202.709,5191.13,5367.346,5680.383,184.984,178.122,182.985,175.723,478,453,443,433,483
95.,SUNMARK FEDERAL CREDIT UNION,4397.77217,4013.28515,3742.617,3635.39104,262.71106,268.79544,265.66618,246.74261,176,176,193,197,200
96.,BANCO POPULAR NORTH AMERICA,5503.571,8755.205,8679.074,8605.345,345.718,340.605,345.385,372.2,649,941,1379,1401,1386
97.,CANADIAN IMPERIAL HOLDINGS INC.,-1,-1,-1,-1,-1,-1,-1,-1,222,-1,-1,-1,-1
98.,TOMPKINS FINANCIAL CORP,5269.561,5003.039,4837.197,3400.248,234.575,231.027,188.951,159.42,1008,1001,998,993,719
99.,CENTERLINE HOLDING COMPANY,-1,-1,-1,4673.298,-1,-1,-1,228.89,240,-1,-1,-1,240
100.,DISCOUNT BANCORP,9783.466,9603.713,9983.916,9487.504,193.91,193.163,258.997,272.36,471,744,720,731,748
101.,ISRAEL DISCOUNT BANK of NEW YORK,9783.466,9600.085,9980.203,9483.877,193.182,192.721,258.109,272.279,471,744,720,731,748
102.,ENERGY SELECT SECTOR SPDR (ETF),10064.71977,8028.87499,7855.40447,6379.70994,204.2537,158.42522,138.5242,139.69255,-1,-1,-1,-1,-1
103.,"APPLE FINANCIAL HOLDINGS, INC",11659.386,11647.17,9806.947,7630.602,218.269,189.487,191.151,148.181,815,804,832,594,630
104.,"BGC FINANCIAL GROUP, INC",-1,-1,-1,-1,-1,-1,-1,-1,507,-1,-1,-1,-1
105.,SELF RELIANCE NY FEDERAL CREDIT UNION,10878.89561,10270.71042,9182.57632,8361.11395,186.23439,191.87834,205.78042,210.73354,48,48,48,48,49
106.,SNBNY HOLDINGS LIMITED,6131.703,6672.456,5656.567,5036.491,151.086,152.381,160.463,125.286,233,220,192,186,185
107.,PIONEER SAVINGS BANK INC,-1,-1,-1,-1,-1,-1,-1,-1,375,-1,-1,-1,-1
108.,CONSUMER HOME MORTGAGE INC,-1,-1,-1,-1,-1,-1,-1,-1,375,-1,-1,-1,-1
109.,RIDGEWOOD SAVINGS BANK,-1,-1,-1,-1,-1,-1,-1,-1,375,-1,-1,-1,-1
110.,APPLE BANK FOR SAVINGS,-1,-1,-1,-1,-1,-1,-1,-1,750,-1,-1,-1,-1
111.,FLUSHING FINANCIAL CORP,-1,-1,-1,-1,-1,-1,-1,-1,375,-1,-1,-1,-1
112.,TRUSTCO BANK CORPORATION NEW YORK,-1,-1,-1,-1,-1,-1,-1,-1,750,-1,-1,-1,-1
113.,SAFRA NATIONAL BANK OF NEW YORK,-1,-1,-1,-1,-1,-1,-1,-1,175,-1,-1,-1,-1
114.,STATE OF NEW YORK MORTGAGE AGENCY,-1,-1,-1,-1,-1,-1,-1,-1,375,-1,-1,-1,-1
115.,CAPITAL ACCESS NETWORK INC,-1,-1,-1,-1,-1,-1,-1,-1,375,-1,-1,-1,-1
116.,FLUSHING BANK,5082.661,4725.183,4452.428,-1,156.433,160.032,157.897,-1,435,416,371,372,-1
117.,TRUSTCO BANK,4643.46,4522.056,4347.132,-1,168.931,160.732,157.443,-1,787,737,708,759,-1
118.,FIDUCIARY TRUST COMPANY INTERNATIONAL,230.217,918.218,1100.088,1134.067,160.852,140.561,137.705,140.033,247,247,243,231,238
119.,NEW MOUNTAIN FINANCE CORPORATION,1514.92,650.107,345.33139,145.48682,135.601,90.876,37.51055,13.66861,-1,-1,-1,-1,-1
120.,DIME SAVINGS BANK of WILLIAMSBURG,4480.563,4013.129,3892.842,-1,136.607,139.482,164.675,-1,342,379,383,388,-1
121.,"PROMARK TRUST BANK, NATIONAL ASSOCIATION",-1,-1,-1,-1,-1,-1,-1,-1,47,-1,-1,-1,-1
122.,NEW YORK COMMERCIAL BANK,4349.529,3684.485,3278.902,2585.283,117.68,103.186,97.349,117.354,197,183,222,197,194
123.,AMALGAMATED BANK,3728.585,3765.046,3727.315,4164.845,109.17,126.93,135.266,133.619,377,415,421,448,439
124.,LADDER CAPITAL FINANCE HOLDINGS LLC,-1,3489.06327,2629.02986,-1,-1,121.57768,136.1982,133.29752,-1,-1,-1,-1,-1
125.,FIVE STAR BANK,3065.109,2922.017,2759.745,2329.353,117.128,114.462,111.38,105.245,626,593,607,615,563
126.,HAPOALIM USA HOLDING CORP,-1,-1,-1,-1,-1,-1,-1,-1,298,-1,-1,-1,-1
127.,DIME COMMUNITY BANCSHARES INC,-1,-1,-1,-1,-1,-1,-1,-1,375,-1,-1,-1,-1
128.,BRIDGE BANCORP INC,-1,-1,-1,-1,-1,-1,-1,-1,375,-1,-1,-1,-1
129.,CAPITAL COMMUNICATIONS FEDERAL CREDIT UNION,-1,-1,-1,-1,-1,-1,-1,-1,750,-1,-1,-1,-1
130.,ARROW FINANCIAL CORP,-1,-1,-1,-1,-1,-1,-1,-1,750,-1,-1,-1,-1
131.,SUFFOLK BANCORP,-1,-1,-1,-1,-1,-1,-1,-1,375,-1,-1,-1,-1
132.,STERLING BANCORP,-1,-1,-1,-1,-1,-1,-1,-1,750,-1,-1,-1,-1
133.,BANK OF NOVA SCOTIA,-1,-1,-1,-1,-1,-1,112.5,-1,375,-1,-1,375,-1
134.,ORANGE COUNTY TRUST CO,-1,-1,-1,-1,-1,-1,-1,-1,175,-1,-1,-1,-1
135.,AMTROL HOLDINGS INC,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1
136.,UNICREDITO ITALIANO,-1,-1,-1,-1,-1,-1,112.5,-1,75,-1,-1,75,-1
137.,CV STARR,-1,-1,-1,-1,-1,-1,-1,-1,175,-1,-1,-1,-1
138.,FINANCIAL INSTITUTIONS INC,-1,-1,-1,-1,-1,-1,-1,-1,750,-1,-1,-1,-1
139.,UNITED NATIONS FEDERAL CREDIT UNION,-1,-1,-1,-1,-1,-1,-1,-1,750,-1,-1,-1,-1
140.,MORTGAGE SOURCE LLC,-1,-1,-1,-1,-1,-1,-1,-1,375,-1,-1,-1,-1
141.,HARTSTONE GROUP PLC,-1,-1,-1,-1,-1,-1,-1,-1,75,-1,-1,-1,-1
142.,GEMINI COMMUNICATIONS,-1,-1,-1,-1,-1,-1,-1,-1,35,-1,-1,-1,-1
143.,FIRST OF LONG ISLAND CORP,-1,-1,-1,-1,-1,-1,-1,-1,375,-1,-1,-1,-1
144.,1ST NATIONAL BANK OF SCOTIA,-1,-1,-1,-1,-1,-1,-1,-1,175,-1,-1,-1,-1
145.,CONTINENTAL MORTGAGE BANKERS,-1,-1,-1,-1,-1,-1,-1,-1,75,-1,-1,-1,-1
146.,RUDER FINN GROUP,-1,-1,-1,-1,-1,-1,-1,-1,750,-1,-1,-1,-1
147.,CIFC CORP,-1,-1,-1,-1,-1,-1,-1,-1,75,-1,-1,-1,-1
148.,CANANDAIGUA NATIONAL CORP,-1,-1,-1,-1,-1,-1,-1,-1,750,-1,-1,-1,-1
149.,UNITED NATIONS FCU,-1,-1,-1,-1,-1,-1,-1,-1,375,-1,-1,-1,-1
150.,EMP NETWORK INC,-1,-1,-1,-1,112.5,-1,-1,-1,375,375,-1,-1,-1
151.,HUTCHIN HILL CAPITAL,-1,-1,-1,-1,-1,-1,-1,-1,375,-1,-1,-1,-1
152.,TD BANK NA,-1,-1,-1,-1,-1,-1,-1,-1,375,-1,-1,-1,-1
153.,JETRO HOLDINGS INCORPORATED DE,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
154.,AR CAPITAL LLC,-1,-1,-1,-1,-1,-1,-1,-1,375,-1,-1,-1,-1
155.,STERLING NATIONAL BANK,-1,-1,-1,-1,-1,-1,-1,-1,750,-1,-1,-1,-1
156.,GLOBAL CAPITAL RESOURCES GROUP L,-1,-1,-1,-1,112.5,-1,-1,-1,1,1,-1,-1,-1
157.,NORTHSTAR REALTY EUROPE CORP,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
158.,THE BRIDGEHAMPTON NATIONAL BANK,2288.329,1896.341,1622.675,1333.384,76.868,61.325,58.895,51.125,429,342,263,245,216
159.,THE CANANDAIGUA NATIONAL BANK AND TRUST COMPANY,2092.417,1933.895,1852.158,1726.94,101.616,98.465,97.311,89.435,386,386,386,386,386
160.,"HUDSON VALLEY BANK, NATIONAL ASSOCIATION",3131.896,2993.444,2886.944,2794.162,106.435,98.725,136.636,136.061,416,416,414,445,449
161.,TOMPKINS TRUST COMPANY,1682.253,1602.169,1570.015,1565.02,97.007,94.737,85.376,84.449,436,430,398,407,335
162.,MIZUHO BANK (USA),5937.024,5219.679,4153.679,3367.356,94.043,83.977,75.173,71.453,413,337,280,235,219
163.,"ALLIANCEBERNSTEIN INCOME FUND, INC.",2916.49062,2897.82052,3456.17944,3227.37927,113.88397,111.31575,111.71984,121.71715,-1,-1,-1,-1,-1
164.,LICT CORP.,203.149,209.488,198.115,202.563,85.856,96.185,95.14,92.614,-1,-1,-1,345,346
165.,THE FIRST NATIONAL BANK of LONG ISLAND,2721.078,2399.351,2107.645,2021.902,74.329,69.532,70.29,65.169,302,284,260,255,251
166.,GLENS FALLS NATIONAL BANK & TRUST COMPANY,1871.403,1843.285,1716.629,1674.323,79.738,75.554,75.237,75.086,462,469,474,488,482
167.,ALLIANZGI CONVERTIBLE & INCOME FUND,1114.12926,1221.54345,1044.73904,1024.21867,85.83041,91.31597,85.32028,88.27474,-1,-1,-1,-1,-1
168.,THE SUFFOLK COUNTY NATIONAL BANK of RIVERHEAD,1894.943,1699.146,1622.001,1483.894,73.232,76.207,67.603,79.594,337,333,350,373,368
169.,VANECK VECTORS GOLD MINERS ETF,5621.42465,6954.95835,9616.81172,9371.38628,76.17656,105.10342,122.50197,67.89068,-1,-1,-1,-1,-1
170.,"MORGAN STANLEY EMERGING MARKETS DOMESTIC DEBT FUND, INC.",1434.475,1574.325,1685.562,1609.351,88.992,112.316,122.214,137.372,-1,-1,-1,-1,-1
171.,MASPETH FEDERAL SAVINGS & LOAN ASSOCIATION INC,1740.528,1737.852,1742.193,-1,67.114,74.969,75.553,-1,210,208,220,212,-1
172.,DUALSTAR TECHNOLOGIES CORP,-1,-1,-1,-1,-1,-1,-1,-1,356,-1,-1,-1,-1
173.,CHEMUNG CANAL TRUST COMPANY,1522.955,1477.891,1245.95,1213.554,75.402,63.819,63.119,59.723,370,387,384,350,344
174.,GHS FEDERAL CREDIT UNION,1509.65209,1313.49091,1307.25769,1297.35044,69.70533,66.28364,67.05253,65.13278,45,45,44,44,44
175.,"THE GOLDMAN SACHS TRUST COMPANY, NATIONAL ASSOCIATION",67.636,53.56,55.468,43.557,57.516,49.442,42.64,35.356,25,24,25,24,21
176.,MITSUBISHI UFJ TRUST & BANKING CORPORATION (USA),287.286,258.381,349.753,270.281,68.476,64.957,60.527,50.344,89,83,79,76,73
177.,CHEMUNG FINANCIAL CORP,-1,-1,-1,-1,-1,-1,-1,-1,375,-1,-1,-1,-1
178.,GENERATIONS BANK,-1,-1,-1,-1,-1,-1,-1,-1,375,-1,-1,-1,-1
179.,HUDSON VALLEY FEDERAL CREDIT UNION,-1,-1,-1,-1,-1,-1,-1,-1,375,-1,-1,-1,-1
180.,NORTHERN FEDERAL CREDIT UNION INC,-1,-1,-1,-1,-1,-1,-1,-1,375,-1,-1,-1,-1
181.,CALYON BANK,-1,-1,-1,-1,-1,-1,-1,-1,175,-1,-1,-1,-1
182.,BANK OF EAST ASIA TRUSTEES LTD,-1,-1,-1,-1,-1,-1,-1,-1,175,-1,-1,-1,-1
183.,FULTON SAVINGS BANK INC,-1,-1,-1,-1,-1,-1,-1,-1,175,-1,-1,-1,-1
184.,BLUE MAN PRODUCTIONS INC,-1,-1,-1,-1,-1,-1,-1,-1,175,-1,-1,-1,-1
185.,ROSENTHAL & ROSENTHAL INC,-1,-1,-1,-1,-1,-1,-1,-1,175,-1,-1,-1,-1
186.,FIRST AMERICAN COMMERCIAL BANCORP,-1,-1,-1,-1,-1,-1,-1,-1,175,-1,-1,-1,-1
187.,HARTZ GROUP INC,-1,-1,-1,-1,-1,-1,-1,-1,175,-1,-1,-1,-1
188.,ALLIED GROUP HOLDINGS LLC,-1,-1,-1,-1,-1,-1,-1,-1,75,-1,-1,-1,-1
189.,COMMUNITY PRESERVATION C,-1,-1,-1,-1,-1,-1,-1,-1,175,-1,-1,-1,-1
190.,ELLIOTT MANAGEMENT CORP,-1,-1,-1,-1,-1,-1,-1,-1,175,-1,-1,-1,-1
191.,CNB MORTGAGE CO,-1,-1,-1,-1,-1,-1,-1,-1,175,-1,-1,-1,-1
192.,FEDERAL RESERVE BANK OF NEW YORK,-1,-1,-1,-1,-1,-1,-1,-1,3500,-1,-1,-1,-1
193.,STATE EMPLOYEES FEDERAL CREDIT UNION,-1,-1,-1,-1,-1,-1,-1,-1,375,-1,-1,-1,-1
194.,M & T BANK,-1,-1,-1,-1,-1,-1,-1,-1,175,-1,-1,-1,-1
195.,ALMA BANK,-1,-1,-1,-1,-1,-1,-1,-1,375,-1,-1,-1,-1
196.,"COHEN & STEERS LOW DURATION PREFERRED INCOME FUND, INC.",-1,-1,-1,-1,-1,-1,-1,-1,175,-1,-1,-1,-1
197.,ALLIANZGI CONVERTIBLE & INCOME FUND II,846.21203,936.96656,801.60202,777.9431,65.76583,73.14381,64.92636,66.9892,-1,-1,-1,-1,-1
198.,BAY RIDGE FEDERAL CREDIT UNION,2016.11418,1800.5082,1662.58581,1523.96152,59.52266,55.57108,56.82032,56.90585,37,37,35,30,28
199.,DANNEMORA FEDERAL CREDIT UNION,1433.32016,1351.52456,1308.18683,1193.3867,58.70785,54.39628,49.69451,47.96121,42,42,43,45,36
200.,DEUTSCHE BANK TRUST COMPANY NA,133.994,130.045,133.161,137.031,63.379,61.201,52.653,59.664,88,68,61,63,60
201.,WOORI AMERICA BANK,1207.536,1156.416,990.245,939.379,43.575,40.373,38.801,40.135,229,227,219,217,217
202.,NEA FEDERAL CREDIT UNION,970.23486,1004.74359,742.70602,701.29634,54.08918,74.99809,39.79577,39.0686,35,35,31,23,22
203.,PIMCO CORPORATE & INCOME STRATEGY FUND,779.052,794.35492,868.82294,818.07231,44.516,55.10263,66.45419,71.79341,-1,-1,-1,-1,-1
204.,THE ONEIDA SAVINGS BANK,797.868,742.461,681.296,664.055,52.965,51.102,45.339,44.335,353,353,354,325,330
205.,INTERVEST NATIONAL BANK,1460.938,1555.149,1652.521,1957.202,50.986,46.601,48.326,49.369,73,73,81,78,75
206.,INDUSTRIAL AND COMMERCIAL BANK of CHINA (USA) NATIONAL ASSOCIATION,1251.223,969.554,761.611,780.402,41.919,35.153,16.436,33.636,272,239,209,199,201
207.,BANK of TOKYO - MITSUBISHI UFJ TRUST COMPANY,-1,-1,-1,963.659,-1,-1,-1,49.979,10,-1,-1,-1,10
208.,NORTH SHORE LIJ HEALTH SYSTEM FEDERAL CREDIT UNION,1119.84044,1077.17771,1041.99814,969.26972,45.81536,45.34004,45.162,44.45924,20,20,21,20,23
209.,THE BANK of CASTILE,1171.198,1105.565,1030.454,976.079,43.374,41.031,39.483,37.652,130,135,130,124,121
210.,MIZUHO TRUST & BANKING CO USA,815.211,777.417,891.017,831.456,45,44.605,41.784,34.424,142,137,132,121,115
211.,PIMCO INCOME OPPORTUNITY FUND,783.351,809.97124,693.11126,672.46894,49.085,50.74651,46.90125,56.59788,-1,-1,-1,-1,-1
212.,AMERICAN BROADCAST EMPLOYEES FEDERAL CREDIT UNION,1055.96954,1058.22355,999.48004,924.92578,41.54923,42.6536,45.1118,45.2448,32,32,35,37,36
